year,model_name,uses_covariates,train_size,pred_n,start,end_date,est_start,est_end,start_dev,end_dev,duration,est_duration,total_dev,duration_dev
2017,chronos.stochastic.bolt.base,False,0,3,2017-01-07,2017-03-09,2016-10-23,2017-06-21,76,104,61,241,180,-180
2017,chronos.stochastic.bolt.base,False,0,4,2017-01-07,2017-03-09,2016-10-25,2017-06-20,74,103,61,238,177,-177
2017,chronos.stochastic.bolt.base,False,0,5,2017-01-07,2017-03-09,2016-10-22,2017-07-14,77,127,61,265,204,-204
2017,chronos.stochastic.bolt.base,False,0,6,2017-01-07,2017-03-09,2016-10-19,2017-08-08,80,152,61,293,232,-232
2017,chronos.stochastic.bolt.base,False,0,7,2017-01-07,2017-03-09,2016-10-11,2017-09-27,88,202,61,351,290,-290
2017,moirai.stochastic.small,False,0,1,2017-01-07,2017-03-09,2016-07-10,2017-12-09,181,275,61,517,456,-456
2017,moirai.stochastic.small,False,0,2,2017-01-07,2017-03-09,2016-07-22,2017-11-30,169,266,61,496,435,-435
2017,moirai.stochastic.small,False,0,3,2017-01-07,2017-03-09,2016-07-10,2017-11-23,181,259,61,501,440,-440
2017,moirai.stochastic.small,False,0,4,2017-01-07,2017-03-09,2016-07-19,2017-12-16,172,282,61,515,454,-454
2017,moirai.stochastic.small,False,0,5,2017-01-07,2017-03-09,2016-07-27,2017-12-02,164,268,61,493,432,-432
2017,moirai.stochastic.small,False,0,6,2017-01-07,2017-03-09,2016-07-23,2017-11-26,168,262,61,491,430,-430
2017,moirai.stochastic.small,False,0,7,2017-01-07,2017-03-09,2016-07-18,2017-11-13,173,249,61,483,422,-422
2018,chronos.conservative.t5.large,False,0,1,2018-01-17,2018-02-27,2018-01-18,2018-02-27,1,0,41,40,1,1
2018,chronos.conservative.t5.large,False,0,2,2018-01-17,2018-02-27,2018-01-19,2018-02-28,2,1,41,40,3,1
2018,chronos.conservative.t5.large,False,0,3,2018-01-17,2018-02-27,2018-01-20,2018-03-01,3,2,41,40,5,1
2018,chronos.conservative.t5.large,False,0,4,2018-01-17,2018-02-27,2018-01-21,2018-03-02,4,3,41,40,7,1
2018,chronos.conservative.t5.large,False,0,5,2018-01-17,2018-02-27,2018-01-22,2018-03-03,5,4,41,40,9,1
2018,chronos.conservative.t5.large,False,0,6,2018-01-17,2018-02-27,2018-01-23,2018-03-04,6,5,41,40,11,1
2018,chronos.conservative.t5.large,False,0,7,2018-01-17,2018-02-27,2018-01-24,2018-03-05,7,6,41,40,13,1
2018,chronos.conservative.bolt.tiny,False,0,1,2018-01-17,2018-02-27,2018-01-13,2018-07-22,4,145,41,190,149,-149
2018,chronos.conservative.bolt.tiny,False,0,2,2018-01-17,2018-02-27,2018-01-14,2018-08-04,3,158,41,202,161,-161
2018,chronos.conservative.bolt.tiny,False,0,3,2018-01-17,2018-02-27,2018-01-15,2018-07-28,2,151,41,194,153,-153
2018,chronos.conservative.bolt.tiny,False,0,4,2018-01-17,2018-02-27,2018-01-15,2018-07-26,2,149,41,192,151,-151
2018,chronos.conservative.bolt.tiny,False,0,5,2018-01-17,2018-02-27,2018-01-12,2018-08-01,5,155,41,201,160,-160
2018,chronos.conservative.bolt.tiny,False,0,6,2018-01-17,2018-02-27,2018-01-10,2018-08-01,7,155,41,203,162,-162
2018,chronos.conservative.bolt.tiny,False,0,7,2018-01-17,2018-02-27,2018-01-01,2018-08-17,16,171,41,228,187,-187
2018,nbeats.five.years.train,False,1825,1,2018-01-17,2018-02-27,2018-01-23,2018-03-04,6,5,41,40,11,1
2018,nbeats.five.years.train,False,1825,2,2018-01-17,2018-02-27,2018-01-24,2018-03-06,7,7,41,41,14,0
2018,nbeats.five.years.train,False,1825,3,2018-01-17,2018-02-27,2018-01-25,2018-03-08,8,9,41,42,17,-1
2018,nbeats.five.years.train,False,1825,4,2018-01-17,2018-02-27,2018-01-26,2018-03-09,9,10,41,42,19,-1
2018,nbeats.five.years.train,False,1825,5,2018-01-17,2018-02-27,2018-01-27,2018-03-10,10,11,41,42,21,-1
2018,nbeats.five.years.train,False,1825,6,2018-01-17,2018-02-27,2018-01-28,2018-03-10,11,11,41,41,22,0
2018,nbeats.five.years.train,False,1825,7,2018-01-17,2018-02-27,2018-01-28,2018-03-11,11,12,41,42,23,-1
2018,moirai.stochastic.large,False,0,1,2018-01-17,2018-02-27,2017-12-13,2018-12-04,35,280,41,356,315,-315
2018,moirai.stochastic.large,False,0,2,2018-01-17,2018-02-27,2017-12-16,2018-11-30,32,276,41,349,308,-308
2018,moirai.stochastic.large,False,0,3,2018-01-17,2018-02-27,2018-01-15,2018-11-14,2,260,41,303,262,-262
2018,moirai.stochastic.large,False,0,4,2018-01-17,2018-02-27,2017-12-10,2018-12-12,38,288,41,367,326,-326
2018,moirai.stochastic.large,False,0,5,2018-01-17,2018-02-27,2017-11-05,2018-11-16,73,262,41,376,335,-335
2018,moirai.stochastic.large,False,0,6,2018-01-17,2018-02-27,2018-01-21,2018-12-18,4,294,41,331,298,-290
2018,moirai.stochastic.large,False,0,7,2018-01-17,2018-02-27,2017-11-23,2018-12-12,55,288,41,384,343,-343
2018,chronos.stochastic.t5.mini,False,0,1,2018-01-17,2018-02-27,2018-01-20,2018-02-28,3,1,41,39,4,2
2018,chronos.stochastic.t5.mini,False,0,2,2018-01-17,2018-02-27,2018-01-21,2018-03-01,4,2,41,39,6,2
2018,chronos.stochastic.t5.mini,False,0,3,2018-01-17,2018-02-27,2018-01-22,2018-03-02,5,3,41,39,8,2
2018,chronos.stochastic.t5.mini,False,0,4,2018-01-17,2018-02-27,2018-01-23,2018-03-03,6,4,41,39,10,2
2018,chronos.stochastic.t5.mini,False,0,5,2018-01-17,2018-02-27,2018-01-24,2018-03-04,7,5,41,39,12,2
2018,chronos.stochastic.t5.mini,False,0,6,2018-01-17,2018-02-27,2018-01-25,2018-03-05,8,6,41,39,14,2
